Country,2015 N,2015 women %,2015 girls %,2015 men %,2015 boys %,2016 N,2016 women %,2016 girls %,2016 % men,2016 boys %,2015-2016 N,2015-2016 women %,2015-2016 girls %,2015-2016 % men,2015-2016 boys %
Belgium,117,40.2,6.0,47.9,6.0,119,46.2,4.2,48.7,0.8,236,43.2,5.1,48.3,3.4
Bulgaria,409,86.3,6.8,5.6,1.2,447,86.8,4.7,7.6,0.9,856,86.6,5.7,6.7,1.1
Czech Republic,4,100.0,0.0,0.0,0.0,14,50.0,0.0,50.0,0.0,18,61.1,0.0,38.9,0.0
Denm ark,93,53.8,1.1,39.8,5.4,121,89.3,5.0,3.3,2.5,214,73.8,3.3,19.2,3.7
Germ any,438,72.1,16.2,10.0,1.6,508,72.8,17.3,8.3,1.6,946,72.5,16.8,9.1,1.6
Estonia,13,15.4,53.8,0.0,30.8,10,0.0,70.0,20.0,10.0,23,8.7,60.9,8.7,21.7
Ireland,62,56.5,9.7,29.0,3.2,75,50.7,1.3,48.0,0.0,137,53.3,5.1,39.4,1.5
Greece,150,38.0,25.3,16.0,20.7,256,30.1,23.8,7.8,38.3,406,33.0,24.4,10.8,31.8
Spain,267,59.6,2.6,37.5,0.4,193,76.2,9.3,13.5,1.0,460,66.5,5.4,27.4,0.7
France,:,:,:,:,:,1488,61.1,15.0,18.3,5.6,1 488,61.1,15.0,18.3,5.6
Croatia,38,81.6,18.4,0.0,0.0,30,43.3,26.7,20.0,10.0,68,64.7,22.1,8.8,4.4
Italy,781,76.2,8.2,14.5,0.9,879,73.0,11.9,12.5,1.4,1 660,74.5,10.2,13.4,1.1
Cyprus,46,45.7,4.3,45.7,4.3,44,88.6,2.3,9.1,0.0,90,66.7,3.3,27.8,2.2
Latvia,11,54.5,36.4,0.0,9.1,19,47.4,31.6,21.1,0.0,30,50.0,33.3,13.3,3.3
Lithuania,62,38.7,19.4,33.9,8.1,45,42.2,2.2,48.9,6.7,107,40.2,12.1,40.2,7.5
Luxem bourg,7,100.0,0.0,0.0,0.0,18,50.0,22.2,11.1,16.7,25,64.0,16.0,8.0,12.0
Hungary,507,25.2,63.3,4.5,6.9,489,41.9,46.6,2.7,8.8,996,33.4,55.1,3.6,7.8
Malta,4,50.0,50.0,0.0,0.0,34,47.1,0.0,52.9,0.0,38,47.4,5.32,47.4,0.0
Netherlands,1 004,58.6,21.7,12.7,7.0,807,59.5,21.4,12.4,6.7,1 811,59.0,21.6,12.6,6.8
Austria,221,82.8,6.8,10.0,0.0,252,79.0,4.8,16.3,0.0,473,80.8,5.7,13.3,0.0
Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Portugal,132,30.3,9.8,59.8,0.0,189,24.3,4.8,70.9,0.0,321,26.8,6.9,66.4,0.0
Rom ania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Slovenia,47,95.7,4.3,0.0,0.0,27,92.6,0.0,7.4,0.0,74,94.6,2.7,2.7,0.0
Slovakia,81,42.0,6.2,51.9,0.0,45,33.3,6.7,48.9,11.1,126,38.9,6.3,50.8,4.0
Finland,52,71.2,0.0,28.8,0.0,130,58.5,7.7,23.8,10.0,182,62.1,5.5,25.3,7.1
Sw eden,2,100.0,0.0,0.0,0.0,7,28.6,14.3,57.1,0.0,9,44.4,11.1,44.4,0.0
United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
