Country,Own Country N,Own Country %,Other EU Country N,Other EU Country %,Non-EU Country N,Non-EU Country %,Other N,Other %,Unknown N,Unknown %,Total N
BE,:,:,38,14,234,86,1,0,1,0,274
BG,27,96,:,:,:,:,:,:,1,4,28
CZ,:,:,:,:,:,:,:,:,:,:,:
DK,1,1,8,4,186,95,:,:,:,:,195
DE,339,25,579,42,342,25,32,2,88,6,1 380
EE,18,82,:,:,4,18,:,:,:,:,22
IE,0,0,40,40,61,60,:,:,:,:,101
EL,16,6,40,14,186,67,:,:,35,13,277
ES,19,4,148,32,291,64,:,:,:,:,458
FR,1 039,36,414,15,1 085,38,291,10,17,1,2 846
HR,33,31,2,2,70,67,:,:,:,:,105
IT,:,:,92,5,1 750,88,146,7,:,:,1 988
CY,5,2,65,22,220,76,:,:,:,:,290
LV,46,96,:,:,2,4,:,:,:,:,48
LT,84,81,:,:,20,19,:,:,:,:,104
LU,:,:,7,23,24,77,:,:,:,:,31
HU,915,98,11,1,8,1,:,:,:,:,934
MT,1,2,2,5,37,93,:,:,:,:,40
NL,510,32,322,20,753,46,:,:,39,2,1 624
AT,23,3,257,31,512,61,41,5,5,0,838
PL,330,49,44,7,266,39,:,:,35,5,675
PT,47,21,36,16,136,61,2,1,3,1,224
RO,1 157,100,1,0,1,0,:,:,:,:,1 159
SI,4,2,66,40,84,50,2,1,11,7,167
SK,140,97,2,1,2,2,:,:,:,:,144
FI,15,9,12,7,141,81,:,:,5,3,173
SE,:,:,:,:,:,:,:,:,:,:,:
UK,2 444,20,1 500,12,8 168,68,1,0,4,0,12 117
